time_index (s),timestamp,component,cpu,ram
0,2026-03-06 13:54:45,op-geth,0.135,68.0
15,2026-03-06 13:55:00,op-geth,0.0885,77.5
30,2026-03-06 13:55:15,op-geth,0.0721,70.4
45,2026-03-06 13:55:30,op-geth,0.0455,63.1
60,2026-03-06 13:55:45,op-geth,0.0441,67.3
75,2026-03-06 13:56:00,op-geth,0.0433,62.7
90,2026-03-06 13:56:15,op-geth,0.0476,65.7
105,2026-03-06 13:56:30,op-geth,0.0546,82.9
120,2026-03-06 13:56:45,op-geth,0.0599,83.9
135,2026-03-06 13:57:00,op-geth,0.0673,70.6
150,2026-03-06 13:57:15,op-geth,0.0724,71.2
165,2026-03-06 13:57:30,op-geth,0.0796,85.4
180,2026-03-06 13:57:45,op-geth,0.0846,85.0
195,2026-03-06 13:58:00,op-geth,0.0917,71.5
210,2026-03-06 13:58:15,op-geth,0.0964,70.8
225,2026-03-06 13:58:30,op-geth,0.102,86.2
240,2026-03-06 13:58:45,op-geth,0.107,84.4
255,2026-03-06 13:59:00,op-geth,0.114,63.2
270,2026-03-06 13:59:15,op-geth,0.119,94.2
285,2026-03-06 13:59:30,op-geth,0.126,70.3
300,2026-03-06 13:59:45,op-geth,0.131,66.5
315,2026-03-06 14:00:00,op-geth,0.135,77.0
330,2026-03-06 14:00:15,op-geth,0.136,73.9
345,2026-03-06 14:00:30,op-geth,0.135,88.0
360,2026-03-06 14:00:45,op-geth,0.136,85.6
375,2026-03-06 14:01:00,op-geth,0.134,99.5
390,2026-03-06 14:01:15,op-geth,0.136,95.1
405,2026-03-06 14:01:30,op-geth,0.135,69.3
420,2026-03-06 14:01:45,op-geth,0.136,100.0
435,2026-03-06 14:02:00,op-geth,0.135,74.2
450,2026-03-06 14:02:15,op-geth,0.136,70.9
465,2026-03-06 14:02:30,op-geth,0.135,80.2
480,2026-03-06 14:02:45,op-geth,0.137,73.9
495,2026-03-06 14:03:00,op-geth,0.135,82.4
510,2026-03-06 14:03:15,op-geth,0.137,76.2
525,2026-03-06 14:03:30,op-geth,0.136,83.0
540,2026-03-06 14:03:45,op-geth,0.136,108.0
555,2026-03-06 14:04:00,op-geth,0.137,83.2
570,2026-03-06 14:04:15,op-geth,0.137,109.0
585,2026-03-06 14:04:30,op-geth,0.137,82.9
600,2026-03-06 14:04:45,op-geth,0.137,69.1
615,2026-03-06 14:05:00,op-geth,0.138,84.3
630,2026-03-06 14:05:15,op-geth,0.138,72.9
