time_index (s),timestamp,component,cpu,ram
0,2026-03-06 14:10:15,op-geth-ext,0.0145,73.4
15,2026-03-06 14:10:30,op-geth-ext,0.0149,77.9
30,2026-03-06 14:10:45,op-geth-ext,0.0573,75.8
45,2026-03-06 14:11:00,op-geth-ext,0.0756,67.3
60,2026-03-06 14:11:15,op-geth-ext,0.119,79.2
75,2026-03-06 14:11:30,op-geth-ext,0.137,90.8
90,2026-03-06 14:11:45,op-geth-ext,0.18,88.4
105,2026-03-06 14:12:00,op-geth-ext,0.197,94.6
120,2026-03-06 14:12:15,op-geth-ext,0.239,116.0
135,2026-03-06 14:12:30,op-geth-ext,0.257,117.0
150,2026-03-06 14:12:45,op-geth-ext,0.299,92.7
165,2026-03-06 14:13:00,op-geth-ext,0.317,94.3
180,2026-03-06 14:13:15,op-geth-ext,0.361,85.8
195,2026-03-06 14:13:30,op-geth-ext,0.379,92.6
210,2026-03-06 14:13:45,op-geth-ext,0.422,134.0
225,2026-03-06 14:14:00,op-geth-ext,0.44,119.0
240,2026-03-06 14:14:15,op-geth-ext,0.484,138.0
255,2026-03-06 14:14:30,op-geth-ext,0.502,109.0
270,2026-03-06 14:14:45,op-geth-ext,0.546,128.0
285,2026-03-06 14:15:00,op-geth-ext,0.563,165.0
300,2026-03-06 14:15:15,op-geth-ext,0.606,167.0
315,2026-03-06 14:15:30,op-geth-ext,0.6,136.0
330,2026-03-06 14:15:45,op-geth-ext,0.606,126.0
345,2026-03-06 14:16:00,op-geth-ext,0.6,165.0
360,2026-03-06 14:16:15,op-geth-ext,0.607,148.0
375,2026-03-06 14:16:30,op-geth-ext,0.6,164.0
390,2026-03-06 14:16:45,op-geth-ext,0.606,142.0
405,2026-03-06 14:17:00,op-geth-ext,0.601,170.0
420,2026-03-06 14:17:15,op-geth-ext,0.608,123.0
435,2026-03-06 14:17:30,op-geth-ext,0.602,146.0
450,2026-03-06 14:17:45,op-geth-ext,0.609,175.0
465,2026-03-06 14:18:00,op-geth-ext,0.602,135.0
480,2026-03-06 14:18:15,op-geth-ext,0.609,144.0
495,2026-03-06 14:18:30,op-geth-ext,0.603,157.0
510,2026-03-06 14:18:45,op-geth-ext,0.608,156.0
525,2026-03-06 14:19:00,op-geth-ext,0.601,178.0
540,2026-03-06 14:19:15,op-geth-ext,0.606,183.0
555,2026-03-06 14:19:30,op-geth-ext,0.6,185.0
570,2026-03-06 14:19:45,op-geth-ext,0.607,181.0
585,2026-03-06 14:20:00,op-geth-ext,0.601,200.0
600,2026-03-06 14:20:15,op-geth-ext,0.608,194.0
615,2026-03-06 14:20:30,op-geth-ext,0.601,191.0
630,2026-03-06 14:20:45,op-geth-ext,0.607,179.0
645,2026-03-06 14:21:00,op-geth-ext,0.6,197.0
