time_index (s),timestamp,component,cpu,ram
0,2026-03-01 14:17:00,op-geth,0.0322,51.2
15,2026-03-01 14:17:15,op-geth,0.0316,57.5
30,2026-03-01 14:17:30,op-geth,0.0322,43.0
45,2026-03-01 14:17:45,op-geth,0.0427,52.9
60,2026-03-01 14:18:00,op-geth,0.0479,58.6
75,2026-03-01 14:18:15,op-geth,0.0586,65.6
90,2026-03-01 14:18:30,op-geth,0.0634,68.9
105,2026-03-01 14:18:45,op-geth,0.0741,53.2
120,2026-03-01 14:19:00,op-geth,0.0785,54.8
135,2026-03-01 14:19:15,op-geth,0.0894,62.1
150,2026-03-01 14:19:30,op-geth,0.094,64.5
165,2026-03-01 14:19:45,op-geth,0.105,68.4
180,2026-03-01 14:20:00,op-geth,0.11,70.9
195,2026-03-01 14:20:15,op-geth,0.12,52.6
210,2026-03-01 14:20:30,op-geth,0.125,53.2
225,2026-03-01 14:20:45,op-geth,0.136,53.9
240,2026-03-01 14:21:00,op-geth,0.141,51.9
255,2026-03-01 14:21:15,op-geth,0.152,54.1
270,2026-03-01 14:21:30,op-geth,0.156,53.1
285,2026-03-01 14:21:45,op-geth,0.167,57.1
300,2026-03-01 14:22:00,op-geth,0.172,53.0
315,2026-03-01 14:22:15,op-geth,0.174,78.9
330,2026-03-01 14:22:30,op-geth,0.174,75.4
345,2026-03-01 14:22:45,op-geth,0.174,71.8
360,2026-03-01 14:23:00,op-geth,0.175,68.0
375,2026-03-01 14:23:15,op-geth,0.175,63.2
390,2026-03-01 14:23:30,op-geth,0.175,58.1
405,2026-03-01 14:23:45,op-geth,0.174,81.5
420,2026-03-01 14:24:00,op-geth,0.175,76.6
435,2026-03-01 14:24:15,op-geth,0.174,67.7
450,2026-03-01 14:24:30,op-geth,0.174,64.9
465,2026-03-01 14:24:45,op-geth,0.174,61.2
480,2026-03-01 14:25:00,op-geth,0.174,87.5
495,2026-03-01 14:25:15,op-geth,0.174,77.5
510,2026-03-01 14:25:30,op-geth,0.175,70.6
525,2026-03-01 14:25:45,op-geth,0.174,61.2
540,2026-03-01 14:26:00,op-geth,0.174,87.0
555,2026-03-01 14:26:15,op-geth,0.174,74.9
570,2026-03-01 14:26:30,op-geth,0.175,66.2
585,2026-03-01 14:26:45,op-geth,0.174,88.9
600,2026-03-01 14:27:00,op-geth,0.175,81.8
615,2026-03-01 14:27:15,op-geth,0.175,71.5
