time_index (s),timestamp,component,cpu,ram
0,2026-03-01 14:49:00,op-rbuilder,0.0241,165.0
15,2026-03-01 14:49:15,op-rbuilder,0.031,161.0
30,2026-03-01 14:49:30,op-rbuilder,0.0586,161.0
45,2026-03-01 14:49:45,op-rbuilder,0.0724,173.0
60,2026-03-01 14:50:00,op-rbuilder,0.103,168.0
75,2026-03-01 14:50:15,op-rbuilder,0.117,180.0
90,2026-03-01 14:50:30,op-rbuilder,0.145,174.0
105,2026-03-01 14:50:45,op-rbuilder,0.159,172.0
120,2026-03-01 14:51:00,op-rbuilder,0.186,178.0
135,2026-03-01 14:51:15,op-rbuilder,0.203,181.0
150,2026-03-01 14:51:30,op-rbuilder,0.231,185.0
165,2026-03-01 14:51:45,op-rbuilder,0.245,188.0
180,2026-03-01 14:52:00,op-rbuilder,0.276,189.0
195,2026-03-01 14:52:15,op-rbuilder,0.29,198.0
210,2026-03-01 14:52:30,op-rbuilder,0.317,196.0
225,2026-03-01 14:52:45,op-rbuilder,0.331,197.0
240,2026-03-01 14:53:00,op-rbuilder,0.359,199.0
255,2026-03-01 14:53:15,op-rbuilder,0.376,203.0
270,2026-03-01 14:53:30,op-rbuilder,0.407,207.0
285,2026-03-01 14:53:45,op-rbuilder,0.417,208.0
300,2026-03-01 14:54:00,op-rbuilder,0.441,221.0
315,2026-03-01 14:54:15,op-rbuilder,0.441,215.0
330,2026-03-01 14:54:30,op-rbuilder,0.441,220.0
345,2026-03-01 14:54:45,op-rbuilder,0.441,220.0
360,2026-03-01 14:55:00,op-rbuilder,0.441,224.0
375,2026-03-01 14:55:15,op-rbuilder,0.445,225.0
390,2026-03-01 14:55:30,op-rbuilder,0.441,230.0
405,2026-03-01 14:55:45,op-rbuilder,0.441,231.0
420,2026-03-01 14:56:00,op-rbuilder,0.438,235.0
435,2026-03-01 14:56:15,op-rbuilder,0.441,237.0
450,2026-03-01 14:56:30,op-rbuilder,0.438,240.0
465,2026-03-01 14:56:45,op-rbuilder,0.441,241.0
480,2026-03-01 14:57:00,op-rbuilder,0.441,245.0
495,2026-03-01 14:57:15,op-rbuilder,0.438,248.0
510,2026-03-01 14:57:30,op-rbuilder,0.441,251.0
525,2026-03-01 14:57:45,op-rbuilder,0.438,254.0
540,2026-03-01 14:58:00,op-rbuilder,0.438,258.0
555,2026-03-01 14:58:15,op-rbuilder,0.438,258.0
570,2026-03-01 14:58:30,op-rbuilder,0.438,264.0
585,2026-03-01 14:58:45,op-rbuilder,0.441,264.0
600,2026-03-01 14:59:00,op-rbuilder,0.441,268.0
615,2026-03-01 14:59:15,op-rbuilder,0.438,270.0
630,2026-03-01 14:59:30,op-rbuilder,0.441,275.0
645,2026-03-01 14:59:45,op-rbuilder,0.438,275.0
