index_s,timestamp,component,cpu,ram
0,2026-02-28 16:04:00,op-geth-ext,0.00852,56.3
15,2026-02-28 16:04:00,op-geth,0.0176,119.0
30,2026-02-28 16:04:15,op-geth-ext,0.0092,59.5
45,2026-02-28 16:04:15,op-geth,0.0178,125.0
60,2026-02-28 16:04:30,op-geth-ext,0.0117,65.7
75,2026-02-28 16:04:30,op-geth,0.0242,121.0
90,2026-02-28 16:04:45,op-geth-ext,0.0177,54.6
105,2026-02-28 16:04:45,op-geth,0.0292,105.0
120,2026-02-28 16:05:00,op-geth-ext,0.0201,60.8
135,2026-02-28 16:05:00,op-geth,0.0358,102.0
150,2026-02-28 16:05:15,op-geth-ext,0.0258,75.9
165,2026-02-28 16:05:15,op-geth,0.0403,86.5
180,2026-02-28 16:05:30,op-geth-ext,0.0284,55.5
195,2026-02-28 16:05:30,op-geth,0.0469,133.0
210,2026-02-28 16:05:45,op-geth-ext,0.0342,74.9
225,2026-02-28 16:05:45,op-geth,0.0515,114.0
240,2026-02-28 16:06:00,op-geth-ext,0.0368,53.0
255,2026-02-28 16:06:00,op-geth,0.0581,107.0
270,2026-02-28 16:06:15,op-geth-ext,0.0426,67.9
285,2026-02-28 16:06:15,op-geth,0.0628,88.7
300,2026-02-28 16:06:30,op-geth-ext,0.045,74.4
315,2026-02-28 16:06:30,op-geth,0.0694,135.0
330,2026-02-28 16:06:45,op-geth-ext,0.051,67.2
345,2026-02-28 16:06:45,op-geth,0.0742,112.0
360,2026-02-28 16:07:00,op-geth-ext,0.0535,73.6
375,2026-02-28 16:07:00,op-geth,0.0807,105.0
390,2026-02-28 16:07:15,op-geth-ext,0.0594,57.2
405,2026-02-28 16:07:15,op-geth,0.0853,137.0
420,2026-02-28 16:07:30,op-geth-ext,0.0618,63.4
435,2026-02-28 16:07:30,op-geth,0.0908,129.0
450,2026-02-28 16:07:45,op-geth-ext,0.068,57.1
465,2026-02-28 16:07:45,op-geth,0.0954,106.0
480,2026-02-28 16:08:00,op-geth-ext,0.0704,63.1
495,2026-02-28 16:08:00,op-geth,0.101,98.6
510,2026-02-28 16:08:15,op-geth-ext,0.0762,78.3
525,2026-02-28 16:08:15,op-geth,0.106,129.0
540,2026-02-28 16:08:30,op-geth-ext,0.0786,85.2
555,2026-02-28 16:08:30,op-geth,0.112,123.0
570,2026-02-28 16:08:45,op-geth-ext,0.0848,82.7
585,2026-02-28 16:08:45,op-geth,0.117,99.0
600,2026-02-28 16:09:00,op-geth-ext,0.0873,89.0
615,2026-02-28 16:09:00,op-geth,0.123,144.0
630,2026-02-28 16:09:15,op-geth-ext,0.0899,71.2
645,2026-02-28 16:09:15,op-geth,0.125,119.0
660,2026-02-28 16:09:30,op-geth-ext,0.0899,77.8
675,2026-02-28 16:09:30,op-geth,0.123,111.0
690,2026-02-28 16:09:45,op-geth-ext,0.0905,77.8
705,2026-02-28 16:09:45,op-geth,0.124,141.0
720,2026-02-28 16:10:00,op-geth-ext,0.0905,84.1
735,2026-02-28 16:10:00,op-geth,0.123,129.0
750,2026-02-28 16:10:15,op-geth-ext,0.0906,63.8
765,2026-02-28 16:10:15,op-geth,0.124,104.0
780,2026-02-28 16:10:30,op-geth-ext,0.0905,70.0
795,2026-02-28 16:10:30,op-geth,0.123,94.9
810,2026-02-28 16:10:45,op-geth-ext,0.0908,73.9
825,2026-02-28 16:10:45,op-geth,0.124,125.0
840,2026-02-28 16:11:00,op-geth-ext,0.0908,80.1
855,2026-02-28 16:11:00,op-geth,0.124,114.0
870,2026-02-28 16:11:15,op-geth-ext,0.0909,95.6
885,2026-02-28 16:11:15,op-geth,0.125,145.0
900,2026-02-28 16:11:30,op-geth-ext,0.0909,65.4
915,2026-02-28 16:11:30,op-geth,0.124,136.0
930,2026-02-28 16:11:45,op-geth-ext,0.0916,69.4
945,2026-02-28 16:11:45,op-geth,0.125,109.0
960,2026-02-28 16:12:00,op-geth-ext,0.0916,75.6
975,2026-02-28 16:12:00,op-geth,0.124,98.2
990,2026-02-28 16:12:15,op-geth-ext,0.0914,91.0
1005,2026-02-28 16:12:15,op-geth,0.125,128.0
1020,2026-02-28 16:12:30,op-geth-ext,0.0915,68.6
1035,2026-02-28 16:12:30,op-geth,0.125,116.0
1050,2026-02-28 16:12:45,op-geth-ext,0.0921,77.9
1065,2026-02-28 16:12:45,op-geth,0.126,147.0
1080,2026-02-28 16:13:00,op-geth-ext,0.0922,84.2
1095,2026-02-28 16:13:00,op-geth,0.125,135.0
1110,2026-02-28 16:13:15,op-geth-ext,0.0922,99.3
1125,2026-02-28 16:13:15,op-geth,0.127,106.0
1140,2026-02-28 16:13:30,op-geth-ext,0.0922,66.2
1155,2026-02-28 16:13:30,op-geth,0.126,153.0
1170,2026-02-28 16:13:45,op-geth-ext,0.093,70.2
1185,2026-02-28 16:13:45,op-geth,0.127,124.0
1200,2026-02-28 16:14:00,op-geth-ext,0.093,76.4
1215,2026-02-28 16:14:00,op-geth,0.127,110.0
1230,2026-02-28 16:14:15,op-geth-ext,0.093,91.4
1245,2026-02-28 16:14:15,op-geth,0.128,140.0
