index,load_sent_tps,mined_tps
0,5,18.112
1,10,35.709
2,20,15.29
3,25,62.68
4,50,39.534
5,100,121.295
6,200,94.09
7,400,91.822
8,800,89.494
9,1000,88.884
10,1600,87.979
11,2000,87.324
