relative_timestamp,real_timestamp,percentage_included
0,1770841016,0.0
1,1770841017,0.0
2,1770841018,0.0
3,1770841019,0.11975308641975309
4,1770841020,0.11975308641975309
5,1770841021,0.7555555555555555
6,1770841022,0.7555555555555555
7,1770841023,1.4160493827160494
8,1770841024,1.4160493827160494
9,1770841025,2.04320987654321
10,1770841026,2.04320987654321
11,1770841027,2.674074074074074
12,1770841028,2.674074074074074
13,1770841029,3.3074074074074074
14,1770841030,3.3074074074074074
15,1770841031,3.939506172839506
16,1770841032,3.939506172839506
17,1770841033,4.565432098765432
18,1770841034,4.565432098765432
19,1770841035,5.196296296296296
20,1770841036,5.196296296296296
21,1770841037,5.827160493827161
22,1770841038,5.827160493827161
23,1770841039,6.4604938271604935
24,1770841040,6.4604938271604935
25,1770841041,7.093827160493828
26,1770841042,7.093827160493828
27,1770841043,7.723456790123456
28,1770841044,7.723456790123456
29,1770841045,8.349382716049384
30,1770841046,8.349382716049384
31,1770841047,8.98641975308642
32,1770841048,8.98641975308642
33,1770841049,9.618518518518519
34,1770841050,9.618518518518519
35,1770841051,10.249382716049382
36,1770841052,10.249382716049382
37,1770841053,10.877777777777778
38,1770841054,10.877777777777778
39,1770841055,11.511111111111111
40,1770841056,11.511111111111111
41,1770841057,12.144444444444444
42,1770841058,12.144444444444444
43,1770841059,12.776543209876543
44,1770841060,12.776543209876543
45,1770841061,13.398765432098767
46,1770841062,13.398765432098767
47,1770841063,14.034567901234569
48,1770841064,14.034567901234569
49,1770841065,14.666666666666666
50,1770841066,14.666666666666666
51,1770841067,15.306172839506175
52,1770841068,15.306172839506175
53,1770841069,15.937037037037035
54,1770841070,15.937037037037035
55,1770841071,16.569135802469138
56,1770841072,16.569135802469138
57,1770841073,17.187654320987654
58,1770841074,17.187654320987654
59,1770841075,17.81851851851852
60,1770841076,17.81851851851852
61,1770841077,18.448148148148146
62,1770841078,18.448148148148146
63,1770841079,19.080246913580247
64,1770841080,19.080246913580247
65,1770841081,19.71851851851852
66,1770841082,19.71851851851852
67,1770841083,20.339506172839506
68,1770841084,20.339506172839506
69,1770841085,20.97283950617284
70,1770841086,20.97283950617284
71,1770841087,21.606172839506176
72,1770841088,21.606172839506176
73,1770841089,22.237037037037037
74,1770841090,22.237037037037037
75,1770841091,22.874074074074073
76,1770841092,22.874074074074073
77,1770841093,23.5
78,1770841094,23.5
79,1770841095,24.1320987654321
80,1770841096,24.1320987654321
81,1770841097,24.758024691358024
82,1770841098,24.758024691358024
83,1770841099,25.391358024691357
84,1770841100,25.391358024691357
85,1770841101,26.01358024691358
86,1770841102,26.01358024691358
87,1770841103,26.655555555555555
88,1770841104,26.655555555555555
89,1770841105,27.293827160493827
90,1770841106,27.293827160493827
91,1770841107,27.917283950617282
92,1770841108,27.917283950617282
93,1770841109,28.544444444444444
94,1770841110,28.544444444444444
95,1770841111,29.18024691358025
96,1770841112,29.18024691358025
97,1770841113,29.803703703703704
98,1770841114,29.803703703703704
99,1770841115,30.435802469135805
100,1770841116,30.435802469135805
101,1770841117,31.075308641975308
102,1770841118,31.075308641975308
103,1770841119,31.706172839506173
104,1770841120,31.706172839506173
105,1770841121,32.330864197530865
106,1770841122,32.330864197530865
107,1770841123,32.96296296296296
108,1770841124,32.96296296296296
109,1770841125,33.59382716049383
110,1770841126,33.59382716049383
111,1770841127,34.2320987654321
112,1770841128,34.2320987654321
113,1770841129,34.86172839506173
114,1770841130,34.86172839506173
115,1770841131,35.48395061728395
116,1770841132,35.48395061728395
117,1770841133,36.10987654320988
118,1770841134,36.10987654320988
119,1770841135,36.74814814814815
120,1770841136,36.74814814814815
121,1770841137,37.37160493827161
122,1770841138,37.37160493827161
123,1770841139,38.01481481481481
124,1770841140,38.01481481481481
125,1770841141,38.64320987654321
126,1770841142,38.64320987654321
127,1770841143,39.266666666666666
128,1770841144,39.266666666666666
129,1770841145,39.89135802469136
130,1770841146,39.89135802469136
131,1770841147,40.528395061728396
132,1770841148,40.528395061728396
133,1770841149,41.15555555555556
134,1770841150,41.15555555555556
135,1770841151,41.787654320987656
136,1770841152,41.787654320987656
137,1770841153,42.41728395061728
138,1770841154,42.41728395061728
139,1770841155,43.05555555555556
140,1770841156,43.05555555555556
141,1770841157,43.67654320987654
142,1770841158,43.67654320987654
143,1770841159,44.312345679012346
144,1770841160,44.312345679012346
145,1770841161,44.94320987654321
146,1770841162,44.94320987654321
147,1770841163,45.57901234567901
148,1770841164,45.57901234567901
149,1770841165,46.20987654320988
150,1770841166,46.20987654320988
151,1770841167,46.833333333333336
152,1770841168,46.833333333333336
153,1770841169,47.46172839506173
154,1770841170,47.46172839506173
155,1770841171,48.10617283950617
156,1770841172,48.10617283950617
157,1770841173,48.72716049382716
158,1770841174,48.72716049382716
159,1770841175,49.35679012345679
160,1770841176,49.35679012345679
161,1770841177,49.998765432098764
162,1770841178,49.998765432098764
163,1770841179,50.62716049382716
164,1770841180,50.62716049382716
165,1770841181,51.241975308641976
166,1770841182,51.241975308641976
167,1770841183,51.87407407407407
168,1770841184,51.87407407407407
169,1770841185,52.5074074074074
170,1770841186,52.5074074074074
171,1770841187,53.140740740740746
172,1770841188,53.140740740740746
173,1770841189,53.76790123456791
174,1770841190,53.76790123456791
175,1770841191,54.39876543209876
176,1770841192,54.39876543209876
177,1770841193,55.025925925925925
178,1770841194,55.025925925925925
179,1770841195,55.660493827160494
180,1770841196,55.660493827160494
181,1770841197,56.29259259259259
182,1770841198,56.29259259259259
183,1770841199,56.937037037037044
184,1770841200,56.937037037037044
185,1770841201,57.55802469135802
186,1770841202,57.55802469135802
187,1770841203,58.183950617283955
188,1770841204,58.183950617283955
189,1770841205,58.812345679012346
190,1770841206,58.812345679012346
191,1770841207,59.44197530864197
192,1770841208,59.44197530864197
193,1770841209,60.07037037037038
194,1770841210,60.07037037037038
195,1770841211,60.70987654320987
196,1770841212,60.70987654320987
197,1770841213,61.337037037037035
198,1770841214,61.337037037037035
199,1770841215,61.98148148148148
200,1770841216,61.98148148148148
201,1770841217,62.6
202,1770841218,62.6
203,1770841219,63.23456790123457
204,1770841220,63.23456790123457
205,1770841221,63.861728395061725
206,1770841222,63.861728395061725
207,1770841223,64.5
208,1770841224,64.5
209,1770841225,65.13580246913581
210,1770841226,65.13580246913581
211,1770841227,65.76666666666667
212,1770841228,65.76666666666667
213,1770841229,66.38641975308643
214,1770841230,66.38641975308643
215,1770841231,67.01975308641975
216,1770841232,67.01975308641975
