Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-11 20:12:22,146,598
1,2026-02-11 20:12:32,146,598
2,2026-02-11 20:12:42,194,613
3,2026-02-11 20:12:52,13,613
4,2026-02-11 20:13:02,13,613
5,2026-02-11 20:13:12,14,613
6,2026-02-11 20:13:22,15,614
7,2026-02-11 20:13:33,15,614
8,2026-02-11 20:13:43,16,614
9,2026-02-11 20:13:53,16,606
10,2026-02-11 20:14:03,16,606
11,2026-02-11 20:14:13,11,607
12,2026-02-11 20:14:23,22,620
13,2026-02-11 20:14:33,22,620
14,2026-02-11 20:14:43,22,620
15,2026-02-11 20:14:53,12,620
16,2026-02-11 20:15:04,12,620
17,2026-02-11 20:15:14,12,620
18,2026-02-11 20:15:24,15,621
19,2026-02-11 20:15:34,15,621
20,2026-02-11 20:15:44,12,621
21,2026-02-11 20:15:54,11,621
22,2026-02-11 20:16:04,11,621
23,2026-02-11 20:16:14,11,621
24,2026-02-11 20:16:25,11,622
25,2026-02-11 20:16:35,11,622
26,2026-02-11 20:16:45,10,622
27,2026-02-11 20:16:55,10,622
28,2026-02-11 20:17:05,10,622
29,2026-02-11 20:17:15,75,614
30,2026-02-11 20:17:25,352,618
31,2026-02-11 20:17:35,358,630
32,2026-02-11 20:17:46,358,630
33,2026-02-11 20:17:56,366,632
34,2026-02-11 20:18:06,364,664
35,2026-02-11 20:18:16,364,664
36,2026-02-11 20:18:26,354,677
37,2026-02-11 20:18:36,354,677
38,2026-02-11 20:18:46,354,677
39,2026-02-11 20:18:56,358,680
40,2026-02-11 20:19:07,365,687
41,2026-02-11 20:19:17,365,687
42,2026-02-11 20:19:27,372,693
43,2026-02-11 20:19:37,387,708
44,2026-02-11 20:19:47,387,708
45,2026-02-11 20:19:57,364,712
46,2026-02-11 20:20:07,357,718
47,2026-02-11 20:20:17,357,718
48,2026-02-11 20:20:27,366,720
49,2026-02-11 20:20:38,370,723
50,2026-02-11 20:20:48,370,723
51,2026-02-11 20:20:58,369,727
52,2026-02-11 20:21:08,358,744
53,2026-02-11 20:21:18,358,744
54,2026-02-11 20:21:28,379,747
55,2026-02-11 20:21:38,373,759
56,2026-02-11 20:21:48,373,759
57,2026-02-11 20:21:59,360,770
58,2026-02-11 20:22:09,362,773
59,2026-02-11 20:22:19,362,773
60,2026-02-11 20:22:29,364,802
61,2026-02-11 20:22:39,409,809
62,2026-02-11 20:22:49,409,809
63,2026-02-11 20:22:59,3018,800
64,2026-02-11 20:23:10,3475,799
65,2026-02-11 20:23:20,3475,799
66,2026-02-11 20:23:30,3448,790
67,2026-02-11 20:23:40,3471,784
68,2026-02-11 20:23:50,3466,805
69,2026-02-11 20:24:00,3466,805
70,2026-02-11 20:24:10,3466,805
71,2026-02-11 20:24:21,3436,772
72,2026-02-11 20:24:31,3436,772
73,2026-02-11 20:24:41,3475,794
74,2026-02-11 20:24:51,3453,805
75,2026-02-11 20:25:01,3453,805
76,2026-02-11 20:25:11,3527,852
77,2026-02-11 20:25:21,3501,857
78,2026-02-11 20:25:32,3501,857
79,2026-02-11 20:25:42,3514,905
80,2026-02-11 20:25:52,3530,866
81,2026-02-11 20:26:02,3530,866
82,2026-02-11 20:26:12,3493,907
83,2026-02-11 20:26:22,3546,908
84,2026-02-11 20:26:32,3546,908
85,2026-02-11 20:26:42,3524,926
86,2026-02-11 20:26:53,3515,912
87,2026-02-11 20:27:03,3515,912
88,2026-02-11 20:27:13,3505,921
89,2026-02-11 20:27:23,3469,977
90,2026-02-11 20:27:33,3469,977
91,2026-02-11 20:27:43,3521,921
92,2026-02-11 20:27:53,3521,921
93,2026-02-11 20:28:04,3521,921
94,2026-02-11 20:28:14,3500,927
95,2026-02-11 20:28:24,300,912
96,2026-02-11 20:28:34,300,912
97,2026-02-11 20:28:44,12,913
