time_index (s),timestamp,component,cpu,ram
0,2026-03-06 15:02:15,op-geth,0.0573,68.1
15,2026-03-06 15:02:30,op-geth,0.0353,82.1
30,2026-03-06 15:02:45,op-geth,0.0397,88.4
45,2026-03-06 15:03:00,op-geth,0.0772,99.3
60,2026-03-06 15:03:15,op-geth,0.0931,98.8
75,2026-03-06 15:03:30,op-geth,0.133,97.7
90,2026-03-06 15:03:45,op-geth,0.149,111.0
105,2026-03-06 15:04:00,op-geth,0.188,102.0
120,2026-03-06 15:04:15,op-geth,0.205,114.0
135,2026-03-06 15:04:30,op-geth,0.245,118.0
150,2026-03-06 15:04:45,op-geth,0.261,123.0
165,2026-03-06 15:05:00,op-geth,0.301,170.0
180,2026-03-06 15:05:15,op-geth,0.318,118.0
195,2026-03-06 15:05:30,op-geth,0.358,146.0
210,2026-03-06 15:05:45,op-geth,0.374,143.0
225,2026-03-06 15:06:00,op-geth,0.414,142.0
240,2026-03-06 15:06:15,op-geth,0.431,134.0
255,2026-03-06 15:06:30,op-geth,0.469,129.0
270,2026-03-06 15:06:45,op-geth,0.485,182.0
285,2026-03-06 15:07:00,op-geth,0.525,151.0
300,2026-03-06 15:07:15,op-geth,0.541,191.0
315,2026-03-06 15:07:30,op-geth,0.565,166.0
330,2026-03-06 15:07:45,op-geth,0.558,149.0
345,2026-03-06 15:08:00,op-geth,0.565,186.0
360,2026-03-06 15:08:15,op-geth,0.559,144.0
375,2026-03-06 15:08:30,op-geth,0.564,171.0
390,2026-03-06 15:08:45,op-geth,0.558,222.0
405,2026-03-06 15:09:00,op-geth,0.564,202.0
420,2026-03-06 15:09:15,op-geth,0.558,233.0
435,2026-03-06 15:09:30,op-geth,0.564,226.0
450,2026-03-06 15:09:45,op-geth,0.557,250.0
465,2026-03-06 15:10:00,op-geth,0.561,197.0
480,2026-03-06 15:10:15,op-geth,0.554,233.0
495,2026-03-06 15:10:30,op-geth,0.561,187.0
510,2026-03-06 15:10:45,op-geth,0.554,198.0
525,2026-03-06 15:11:00,op-geth,0.559,241.0
540,2026-03-06 15:11:15,op-geth,0.555,182.0
555,2026-03-06 15:11:30,op-geth,0.56,221.0
570,2026-03-06 15:11:45,op-geth,0.554,229.0
585,2026-03-06 15:12:00,op-geth,0.559,237.0
600,2026-03-06 15:12:15,op-geth,0.552,265.0
615,2026-03-06 15:12:30,op-geth,0.559,183.0
630,2026-03-06 15:12:45,op-geth,0.553,206.0
645,2026-03-06 15:13:00,op-geth,0.559,234.0
660,2026-03-06 15:13:15,op-geth,0.552,246.0
