time_index (s),timestamp,component,cpu,ram
0,2026-03-06 15:02:15,op-geth-ext,0.0203,64.9
15,2026-03-06 15:02:30,op-geth-ext,0.0193,69.0
30,2026-03-06 15:02:45,op-geth-ext,0.0565,81.7
45,2026-03-06 15:03:00,op-geth-ext,0.0801,81.6
60,2026-03-06 15:03:15,op-geth-ext,0.133,80.5
75,2026-03-06 15:03:30,op-geth-ext,0.156,103.0
90,2026-03-06 15:03:45,op-geth-ext,0.208,113.0
105,2026-03-06 15:04:00,op-geth-ext,0.232,89.3
120,2026-03-06 15:04:15,op-geth-ext,0.285,90.9
135,2026-03-06 15:04:30,op-geth-ext,0.308,109.0
150,2026-03-06 15:04:45,op-geth-ext,0.362,103.0
165,2026-03-06 15:05:00,op-geth-ext,0.386,110.0
180,2026-03-06 15:05:15,op-geth-ext,0.439,88.4
195,2026-03-06 15:05:30,op-geth-ext,0.463,108.0
210,2026-03-06 15:05:45,op-geth-ext,0.515,131.0
225,2026-03-06 15:06:00,op-geth-ext,0.538,132.0
240,2026-03-06 15:06:15,op-geth-ext,0.59,138.0
255,2026-03-06 15:06:30,op-geth-ext,0.613,135.0
270,2026-03-06 15:06:45,op-geth-ext,0.666,144.0
285,2026-03-06 15:07:00,op-geth-ext,0.689,137.0
300,2026-03-06 15:07:15,op-geth-ext,0.742,166.0
315,2026-03-06 15:07:30,op-geth-ext,0.758,139.0
330,2026-03-06 15:07:45,op-geth-ext,0.757,171.0
345,2026-03-06 15:08:00,op-geth-ext,0.76,142.0
360,2026-03-06 15:08:15,op-geth-ext,0.758,159.0
375,2026-03-06 15:08:30,op-geth-ext,0.76,134.0
390,2026-03-06 15:08:45,op-geth-ext,0.76,147.0
405,2026-03-06 15:09:00,op-geth-ext,0.76,186.0
420,2026-03-06 15:09:15,op-geth-ext,0.76,185.0
435,2026-03-06 15:09:30,op-geth-ext,0.76,138.0
450,2026-03-06 15:09:45,op-geth-ext,0.758,213.0
465,2026-03-06 15:10:00,op-geth-ext,0.76,161.0
480,2026-03-06 15:10:15,op-geth-ext,0.758,215.0
495,2026-03-06 15:10:30,op-geth-ext,0.761,164.0
510,2026-03-06 15:10:45,op-geth-ext,0.76,225.0
525,2026-03-06 15:11:00,op-geth-ext,0.761,151.0
540,2026-03-06 15:11:15,op-geth-ext,0.762,196.0
555,2026-03-06 15:11:30,op-geth-ext,0.762,213.0
570,2026-03-06 15:11:45,op-geth-ext,0.762,175.0
585,2026-03-06 15:12:00,op-geth-ext,0.763,194.0
600,2026-03-06 15:12:15,op-geth-ext,0.762,143.0
615,2026-03-06 15:12:30,op-geth-ext,0.764,160.0
630,2026-03-06 15:12:45,op-geth-ext,0.763,199.0
645,2026-03-06 15:13:00,op-geth-ext,0.764,211.0
660,2026-03-06 15:13:15,op-geth-ext,0.763,166.0
