time_index (s),timestamp,component,cpu,ram
0,2026-03-01 15:46:30,op-geth,0.0231,65.3
15,2026-03-01 15:46:45,op-geth,0.026,55.8
30,2026-03-01 15:47:00,op-geth,0.0528,78.1
45,2026-03-01 15:47:15,op-geth,0.0937,85.7
60,2026-03-01 15:47:30,op-geth,0.121,87.4
75,2026-03-01 15:47:45,op-geth,0.162,108.0
90,2026-03-01 15:48:00,op-geth,0.19,112.0
105,2026-03-01 15:48:15,op-geth,0.231,148.0
120,2026-03-01 15:48:30,op-geth,0.253,148.0
135,2026-03-01 15:48:45,op-geth,0.3,142.0
150,2026-03-01 15:49:00,op-geth,0.322,104.0
165,2026-03-01 15:49:15,op-geth,0.37,158.0
180,2026-03-01 15:49:30,op-geth,0.392,151.0
195,2026-03-01 15:49:45,op-geth,0.441,115.0
210,2026-03-01 15:50:00,op-geth,0.461,157.0
225,2026-03-01 15:50:15,op-geth,0.51,165.0
240,2026-03-01 15:50:30,op-geth,0.531,153.0
255,2026-03-01 15:50:45,op-geth,0.58,127.0
270,2026-03-01 15:51:00,op-geth,0.601,161.0
285,2026-03-01 15:51:15,op-geth,0.649,141.0
300,2026-03-01 15:51:30,op-geth,0.67,166.0
315,2026-03-01 15:51:45,op-geth,0.689,157.0
330,2026-03-01 15:52:00,op-geth,0.69,165.0
345,2026-03-01 15:52:15,op-geth,0.69,171.0
360,2026-03-01 15:52:30,op-geth,0.691,192.0
375,2026-03-01 15:52:45,op-geth,0.69,177.0
390,2026-03-01 15:53:00,op-geth,0.69,178.0
405,2026-03-01 15:53:15,op-geth,0.697,208.0
420,2026-03-01 15:53:30,op-geth,0.691,200.0
435,2026-03-01 15:53:45,op-geth,0.697,181.0
450,2026-03-01 15:54:00,op-geth,0.69,178.0
465,2026-03-01 15:54:15,op-geth,0.696,236.0
480,2026-03-01 15:54:30,op-geth,0.689,205.0
495,2026-03-01 15:54:45,op-geth,0.696,246.0
510,2026-03-01 15:55:00,op-geth,0.689,218.0
525,2026-03-01 15:55:15,op-geth,0.696,256.0
540,2026-03-01 15:55:30,op-geth,0.689,213.0
555,2026-03-01 15:55:45,op-geth,0.696,241.0
570,2026-03-01 15:56:00,op-geth,0.69,205.0
585,2026-03-01 15:56:15,op-geth,0.697,201.0
600,2026-03-01 15:56:30,op-geth,0.69,249.0
615,2026-03-01 15:56:45,op-geth,0.697,198.0
630,2026-03-01 15:57:00,op-geth,0.689,246.0
645,2026-03-01 15:57:15,op-geth,0.697,201.0
660,2026-03-01 15:57:30,op-geth,0.69,246.0
