time_index (s),timestamp,component,cpu,ram
0,2026-03-01 15:46:30,op-rbuilder,0.0345,176.0
15,2026-03-01 15:46:45,op-rbuilder,0.0345,178.0
30,2026-03-01 15:47:00,op-rbuilder,0.0724,168.0
45,2026-03-01 15:47:15,op-rbuilder,0.0931,170.0
60,2026-03-01 15:47:30,op-rbuilder,0.134,168.0
75,2026-03-01 15:47:45,op-rbuilder,0.155,177.0
90,2026-03-01 15:48:00,op-rbuilder,0.197,174.0
105,2026-03-01 15:48:15,op-rbuilder,0.217,174.0
120,2026-03-01 15:48:30,op-rbuilder,0.259,177.0
135,2026-03-01 15:48:45,op-rbuilder,0.279,180.0
150,2026-03-01 15:49:00,op-rbuilder,0.321,185.0
165,2026-03-01 15:49:15,op-rbuilder,0.341,185.0
180,2026-03-01 15:49:30,op-rbuilder,0.383,189.0
195,2026-03-01 15:49:45,op-rbuilder,0.407,194.0
210,2026-03-01 15:50:00,op-rbuilder,0.445,197.0
225,2026-03-01 15:50:15,op-rbuilder,0.469,198.0
240,2026-03-01 15:50:30,op-rbuilder,0.507,201.0
255,2026-03-01 15:50:45,op-rbuilder,0.531,205.0
270,2026-03-01 15:51:00,op-rbuilder,0.569,209.0
285,2026-03-01 15:51:15,op-rbuilder,0.593,218.0
300,2026-03-01 15:51:30,op-rbuilder,0.631,213.0
315,2026-03-01 15:51:45,op-rbuilder,0.634,214.0
330,2026-03-01 15:52:00,op-rbuilder,0.638,219.0
345,2026-03-01 15:52:15,op-rbuilder,0.634,220.0
360,2026-03-01 15:52:30,op-rbuilder,0.638,223.0
375,2026-03-01 15:52:45,op-rbuilder,0.634,227.0
390,2026-03-01 15:53:00,op-rbuilder,0.638,229.0
405,2026-03-01 15:53:15,op-rbuilder,0.634,231.0
420,2026-03-01 15:53:30,op-rbuilder,0.638,233.0
435,2026-03-01 15:53:45,op-rbuilder,0.631,235.0
450,2026-03-01 15:54:00,op-rbuilder,0.634,240.0
465,2026-03-01 15:54:15,op-rbuilder,0.631,242.0
480,2026-03-01 15:54:30,op-rbuilder,0.631,247.0
495,2026-03-01 15:54:45,op-rbuilder,0.631,253.0
510,2026-03-01 15:55:00,op-rbuilder,0.631,254.0
525,2026-03-01 15:55:15,op-rbuilder,0.631,254.0
540,2026-03-01 15:55:30,op-rbuilder,0.628,257.0
555,2026-03-01 15:55:45,op-rbuilder,0.631,259.0
570,2026-03-01 15:56:00,op-rbuilder,0.631,263.0
585,2026-03-01 15:56:15,op-rbuilder,0.631,264.0
600,2026-03-01 15:56:30,op-rbuilder,0.631,268.0
615,2026-03-01 15:56:45,op-rbuilder,0.631,277.0
630,2026-03-01 15:57:00,op-rbuilder,0.631,275.0
645,2026-03-01 15:57:15,op-rbuilder,0.631,276.0
660,2026-03-01 15:57:30,op-rbuilder,0.628,281.0
