Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-12 04:16:27,41,110
1,2026-02-12 04:16:37,35,111
2,2026-02-12 04:16:48,35,111
3,2026-02-12 04:16:58,8,111
4,2026-02-12 04:17:08,6,111
5,2026-02-12 04:17:18,6,111
6,2026-02-12 04:17:28,7,112
7,2026-02-12 04:17:38,8,116
8,2026-02-12 04:17:48,8,116
9,2026-02-12 04:17:58,6,116
10,2026-02-12 04:18:08,7,117
11,2026-02-12 04:18:19,7,117
12,2026-02-12 04:18:29,7,117
13,2026-02-12 04:18:39,7,117
14,2026-02-12 04:18:49,7,117
15,2026-02-12 04:18:59,6,117
16,2026-02-12 04:19:09,7,117
17,2026-02-12 04:19:19,7,117
18,2026-02-12 04:19:29,7,118
19,2026-02-12 04:19:40,7,118
20,2026-02-12 04:19:50,7,118
21,2026-02-12 04:20:00,7,118
22,2026-02-12 04:20:10,70,120
23,2026-02-12 04:20:20,70,120
24,2026-02-12 04:20:30,91,123
25,2026-02-12 04:20:40,91,130
26,2026-02-12 04:20:50,91,130
27,2026-02-12 04:21:01,91,130
28,2026-02-12 04:21:11,91,135
29,2026-02-12 04:21:21,88,139
30,2026-02-12 04:21:31,88,139
31,2026-02-12 04:21:41,94,143
32,2026-02-12 04:21:51,99,144
33,2026-02-12 04:22:01,99,144
34,2026-02-12 04:22:11,92,150
35,2026-02-12 04:22:21,94,151
36,2026-02-12 04:22:32,94,151
37,2026-02-12 04:22:42,97,159
38,2026-02-12 04:22:52,97,159
39,2026-02-12 04:23:02,97,159
40,2026-02-12 04:23:12,99,160
41,2026-02-12 04:23:22,102,161
42,2026-02-12 04:23:32,102,161
43,2026-02-12 04:23:42,96,166
44,2026-02-12 04:23:53,98,167
45,2026-02-12 04:24:03,98,167
46,2026-02-12 04:24:13,97,173
47,2026-02-12 04:24:23,97,173
48,2026-02-12 04:24:33,97,173
49,2026-02-12 04:24:43,95,177
