index_s,timestamp,component,cpu,ram
0,2026-02-28 15:11:15,op-geth-ext,0.0188,107.0
15,2026-02-28 15:11:15,op-geth,0.0169,85.7
30,2026-02-28 15:11:30,op-geth-ext,0.0206,116.0
45,2026-02-28 15:11:30,op-geth,0.0209,117.0
60,2026-02-28 15:11:45,op-geth-ext,0.0298,107.0
75,2026-02-28 15:11:45,op-geth,0.024,90.7
90,2026-02-28 15:12:00,op-geth-ext,0.036,133.0
105,2026-02-28 15:12:00,op-geth,0.0314,99.1
120,2026-02-28 15:12:15,op-geth-ext,0.0453,118.0
135,2026-02-28 15:12:15,op-geth,0.0344,122.0
150,2026-02-28 15:12:30,op-geth-ext,0.052,90.0
165,2026-02-28 15:12:30,op-geth,0.042,129.0
180,2026-02-28 15:12:45,op-geth-ext,0.0608,128.0
195,2026-02-28 15:12:45,op-geth,0.0451,99.0
210,2026-02-28 15:13:00,op-geth-ext,0.0676,99.6
225,2026-02-28 15:13:00,op-geth,0.0529,104.0
240,2026-02-28 15:13:15,op-geth-ext,0.0766,138.0
255,2026-02-28 15:13:15,op-geth,0.056,126.0
270,2026-02-28 15:13:30,op-geth-ext,0.0831,106.0
285,2026-02-28 15:13:30,op-geth,0.0638,128.0
300,2026-02-28 15:13:45,op-geth-ext,0.0926,90.8
315,2026-02-28 15:13:45,op-geth,0.0671,96.5
330,2026-02-28 15:14:00,op-geth-ext,0.0991,116.0
345,2026-02-28 15:14:00,op-geth,0.0751,101.0
360,2026-02-28 15:14:15,op-geth-ext,0.108,98.1
375,2026-02-28 15:14:15,op-geth,0.0781,124.0
390,2026-02-28 15:14:30,op-geth-ext,0.115,123.0
405,2026-02-28 15:14:30,op-geth,0.086,127.0
420,2026-02-28 15:14:45,op-geth-ext,0.124,108.0
435,2026-02-28 15:14:45,op-geth,0.0886,93.4
450,2026-02-28 15:15:00,op-geth-ext,0.131,133.0
465,2026-02-28 15:15:00,op-geth,0.0962,96.3
480,2026-02-28 15:15:15,op-geth-ext,0.14,115.0
495,2026-02-28 15:15:15,op-geth,0.0991,118.0
510,2026-02-28 15:15:30,op-geth-ext,0.147,141.0
525,2026-02-28 15:15:30,op-geth,0.107,119.0
540,2026-02-28 15:15:45,op-geth-ext,0.156,124.0
555,2026-02-28 15:15:45,op-geth,0.11,141.0
570,2026-02-28 15:16:00,op-geth-ext,0.162,92.5
585,2026-02-28 15:16:00,op-geth,0.117,144.0
600,2026-02-28 15:16:15,op-geth-ext,0.17,130.0
615,2026-02-28 15:16:15,op-geth,0.119,109.0
630,2026-02-28 15:16:30,op-geth-ext,0.172,96.1
645,2026-02-28 15:16:30,op-geth,0.121,110.0
660,2026-02-28 15:16:45,op-geth-ext,0.17,134.0
675,2026-02-28 15:16:45,op-geth,0.12,131.0
690,2026-02-28 15:17:00,op-geth-ext,0.172,101.0
705,2026-02-28 15:17:00,op-geth,0.121,131.0
720,2026-02-28 15:17:15,op-geth-ext,0.17,139.0
735,2026-02-28 15:17:15,op-geth,0.12,154.0
750,2026-02-28 15:17:30,op-geth-ext,0.172,106.0
765,2026-02-28 15:17:30,op-geth,0.121,153.0
780,2026-02-28 15:17:45,op-geth-ext,0.17,144.0
795,2026-02-28 15:17:45,op-geth,0.12,116.0
810,2026-02-28 15:18:00,op-geth-ext,0.172,112.0
825,2026-02-28 15:18:00,op-geth,0.122,117.0
840,2026-02-28 15:18:15,op-geth-ext,0.17,92.8
855,2026-02-28 15:18:15,op-geth,0.12,140.0
870,2026-02-28 15:18:30,op-geth-ext,0.172,117.0
885,2026-02-28 15:18:30,op-geth,0.121,138.0
900,2026-02-28 15:18:45,op-geth-ext,0.171,97.5
915,2026-02-28 15:18:45,op-geth,0.12,101.0
930,2026-02-28 15:19:00,op-geth-ext,0.173,122.0
945,2026-02-28 15:19:00,op-geth,0.122,158.0
960,2026-02-28 15:19:15,op-geth-ext,0.171,101.0
975,2026-02-28 15:19:15,op-geth,0.12,120.0
990,2026-02-28 15:19:30,op-geth-ext,0.173,126.0
1005,2026-02-28 15:19:30,op-geth,0.122,117.0
1020,2026-02-28 15:19:45,op-geth-ext,0.171,106.0
1035,2026-02-28 15:19:45,op-geth,0.12,138.0
1050,2026-02-28 15:20:00,op-geth-ext,0.173,131.0
1065,2026-02-28 15:20:00,op-geth,0.122,137.0
1080,2026-02-28 15:20:15,op-geth-ext,0.171,109.0
1095,2026-02-28 15:20:15,op-geth,0.12,159.0
1110,2026-02-28 15:20:30,op-geth-ext,0.173,134.0
1125,2026-02-28 15:20:30,op-geth,0.122,157.0
1140,2026-02-28 15:20:45,op-geth-ext,0.171,109.0
1155,2026-02-28 15:20:45,op-geth,0.121,117.0
1170,2026-02-28 15:21:00,op-geth-ext,0.173,134.0
1185,2026-02-28 15:21:00,op-geth,0.123,116.0
1200,2026-02-28 15:21:15,op-geth-ext,0.172,110.0
1215,2026-02-28 15:21:15,op-geth,0.122,139.0
1230,2026-02-28 15:21:30,op-geth-ext,0.174,135.0
1245,2026-02-28 15:21:30,op-geth,0.123,132.0
