index,load_sent_tps,mined_tps
0,5,5.296
1,10,32.487
2,20,15.184
3,25,62.927
4,50,40.692
5,100,96.322
6,200,79.992
7,400,81.267
8,800,81.335
9,1000,78.888
10,1600,78.456
11,2000,81.352
