node,rpc_method,target_rate,actual_rate,throughput,success_rate,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,eth_getStorageAt,100,100.01543178603276,99.94528933229022,1.0,0.001333332,0.008578046,0.010863026,0.011758964,0.011938334,0.012268168,0.042102013,6000
nopbs-native,eth_getStorageAt,200,200.01663311318723,200.0076518060728,1.0,0.001044798,0.005172038,0.005870135,0.006711782,0.006917193,0.007268169,0.012414718,12000
nopbs-native,eth_getStorageAt,300,300.0153178370805,299.80626917628166,1.0,0.001280928,0.004137899,0.004266921,0.005018501,0.005208044,0.005545718,0.041834613,18000
nopbs-native,eth_getStorageAt,400,400.013791495497,399.73409564706213,1.0,0.001158732,0.003524002,0.003530901,0.004225672,0.004417164,0.004823374,0.041980838,24000
nopbs-native,eth_getStorageAt,500,500.0148054300552,499.66726598796083,1.0,0.000918684,0.003060479,0.003004309,0.003704026,0.003901929,0.004671614,0.041731269,30000
nopbs-native,eth_getStorageAt,600,600.0191966541662,599.6029529179602,1.0,0.001094215,0.002885757,0.002813502,0.003519292,0.003800953,0.00498621,0.041650604,36000
nopbs-native,eth_getStorageAt,700,700.0248656882579,699.525018804749,1.0,0.000886239,0.00278892,0.002685818,0.003661047,0.004126491,0.00487693,0.044110884,42000
nopbs-native,eth_getStorageAt,800,800.0285082158617,799.4505156756869,1.0,0.000702514,0.002740448,0.002638104,0.003722811,0.004034804,0.004809652,0.04337769,48000
nopbs-native,eth_getStorageAt,900,900.0206370681987,899.3815827653808,1.0,0.000641029,0.002698178,0.002628345,0.003636404,0.003960954,0.004964843,0.042631937,54000
nopbs-native,eth_getStorageAt,1000,999.9964909456469,999.2583739340922,1.0,0.000723243,0.002708091,0.002657507,0.003661219,0.004017746,0.004998567,0.048969799,60000
