timestamp,percent_included
2898,46.65555555555556
2899,46.7
2900,46.738888888888894
2901,46.794444444444444
2902,46.855555555555554
2903,46.92777777777778
2904,46.97222222222222
2905,47.00555555555555
2906,47.06111111111111
2907,47.07777777777778
2908,47.12222222222222
2909,47.21666666666667
2910,47.261111111111106
2911,47.30555555555556
2912,47.355555555555554
2913,47.41111111111111
2914,47.47777777777778
2915,47.50555555555556
2916,47.56666666666667
2917,47.583333333333336
2918,47.65555555555556
2919,47.699999999999996
2920,47.75555555555556
2921,47.8
2922,47.86111111111111
2923,47.894444444444446
2924,47.97222222222222
2925,48.016666666666666
2926,48.083333333333336
2927,48.105555555555554
2928,48.16111111111111
2929,48.19444444444444
2930,48.25555555555556
2931,48.32222222222222
2932,48.36111111111111
2933,48.4
2934,48.449999999999996
2935,48.516666666666666
2936,48.544444444444444
2937,48.62777777777777
2938,48.68333333333334
2939,48.705555555555556
2940,48.75555555555556
2941,48.788888888888884
2942,48.85
2943,48.92777777777778
2944,48.97222222222222
2945,49.02777777777778
2946,49.06111111111111
2947,49.13333333333333
2948,49.17777777777778
2949,49.21666666666666
2950,49.26111111111111
2951,49.31111111111111
2952,49.36666666666667
2953,49.422222222222224
2954,49.44444444444444
2955,49.51111111111111
2956,49.55555555555556
2957,49.6
2958,49.666666666666664
2959,49.71666666666666
2960,49.766666666666666
2961,49.794444444444444
2962,49.84444444444445
2963,49.87222222222222
2964,49.94444444444445
2965,50.00555555555556
2966,50.044444444444444
2967,50.077777777777776
2968,50.12777777777778
2969,50.205555555555556
2970,50.26111111111111
2971,50.31666666666666
2972,50.355555555555554
2973,50.411111111111104
2974,50.43333333333333
2975,50.477777777777774
2976,50.577777777777776
2977,50.62222222222223
2978,50.67777777777778
2979,50.72222222222222
2980,50.788888888888884
2981,50.83888888888889
2982,50.866666666666674
2983,50.93888888888889
2984,50.955555555555556
2985,51.03333333333333
2986,51.083333333333336
2987,51.12222222222223
2988,51.17222222222222
2989,51.22777777777778
2990,51.27777777777778
2991,51.33888888888889
2992,51.38333333333334
2993,51.44444444444445
2994,51.477777777777774
2995,51.52777777777777
2996,51.56111111111111
2997,51.61111111111111
2998,51.66111111111111
2999,51.71666666666667
3000,51.75555555555555
3001,51.794444444444444
3002,51.861111111111114
3003,51.894444444444446
3004,51.96666666666667
3005,52.016666666666666
3006,52.04444444444445
3007,52.1
3008,52.12777777777777
3009,52.2
3010,52.28333333333334
3011,52.327777777777776
3012,52.38333333333334
3013,52.422222222222224
3014,52.483333333333334
3015,52.53333333333333
3016,52.57222222222222
3017,52.61111111111111
3018,52.66111111111111
3019,52.72222222222223
3020,52.77777777777778
3021,52.81111111111111
3022,52.87777777777778
3023,52.922222222222224
3024,52.961111111111116
3025,53.016666666666666
3026,53.083333333333336
3027,53.13333333333333
3028,53.166666666666664
3029,53.21666666666667
3030,53.25555555555555
3031,53.31111111111111
3032,53.36666666666666
3033,53.41666666666667
3034,53.455555555555556
3035,53.511111111111106
3036,53.57222222222222
3037,53.63333333333333
3038,53.68888888888888
3039,53.72222222222223
3040,53.77222222222222
3041,53.800000000000004
3042,53.849999999999994
3043,53.93333333333333
3044,53.98888888888889
3045,54.02777777777777
3046,54.07777777777778
3047,54.13333333333333
3048,54.18333333333333
3049,54.21666666666667
3050,54.25555555555556
3051,54.300000000000004
3052,54.37222222222222
3053,54.42777777777778
3054,54.47222222222222
3055,54.522222222222226
3056,54.56111111111112
3057,54.62222222222223
3058,54.68333333333333
3059,54.71666666666667
3060,54.772222222222226
3061,54.81666666666667
3062,54.855555555555554
3063,54.894444444444446
3064,54.961111111111116
3065,55.02222222222222
3066,55.05555555555556
3067,55.111111111111114
3068,55.15
3069,55.21666666666667
3070,55.272222222222226
3071,55.34444444444444
3072,55.37777777777778
3073,55.40555555555555
3074,55.47222222222222
3075,55.49444444444445
3076,55.55555555555556
3077,55.63888888888889
3078,55.68888888888889
3079,55.738888888888894
3080,55.78333333333333
3081,55.84444444444444
3082,55.894444444444446
3083,55.9388888888889
3084,55.97777777777778
3085,56.02222222222222
3086,56.08333333333333
3087,56.14444444444444
3088,56.161111111111104
3089,56.233333333333334
3090,56.28333333333333
3091,56.31111111111111
3092,56.36111111111111
3093,56.42222222222222
3094,56.47777777777778
3095,56.51111111111111
3096,56.56666666666666
3097,56.611111111111114
3098,56.666666666666664
3099,56.705555555555556
3100,56.761111111111106
3101,56.78888888888889
3102,56.86666666666667
3103,56.91666666666667
3104,56.98333333333333
3105,57.05
3106,57.07777777777778
3107,57.116666666666674
3108,57.166666666666664
3109,57.211111111111116
3110,57.29444444444445
3111,57.33888888888888
3112,57.388888888888886
3113,57.42222222222222
3114,57.483333333333334
3115,57.538888888888884
3116,57.57222222222222
3117,57.62777777777778
3118,57.67777777777777
3119,57.73888888888889
3120,57.79444444444445
3121,57.833333333333336
3122,57.86111111111111
3123,57.92777777777778
3124,57.983333333333334
3125,58.044444444444444
3126,58.06666666666666
3127,58.13333333333334
3128,58.17777777777777
3129,58.22222222222222
3130,58.266666666666666
3131,58.32222222222222
3132,58.37777777777777
3133,58.4
3134,58.46111111111111
3135,58.48888888888889
3136,58.56111111111111
3137,58.61666666666666
3138,58.699999999999996
3139,58.73888888888889
3140,58.772222222222226
3141,58.83888888888889
3142,58.85
3143,58.916666666666664
3144,59.00555555555555
3145,59.044444444444444
3146,59.08333333333333
3147,59.11666666666666
3148,59.18333333333333
3149,59.24444444444445
3150,59.27777777777777
3151,59.33888888888889
3152,59.39444444444445
3153,59.44444444444444
3154,59.50555555555555
3155,59.52777777777778
3156,59.583333333333336
3157,59.62777777777778
3158,59.66666666666667
3159,59.71666666666666
3160,59.772222222222226
3161,59.833333333333336
3162,59.88888888888889
3163,59.93333333333334
3164,59.97222222222223
3165,60.03333333333334
3166,60.07222222222223
3167,60.11666666666666
3168,60.15555555555555
3169,60.22222222222222
3170,60.26111111111111
3171,60.32777777777778
3172,60.4
3173,60.43888888888888
3174,60.477777777777774
3175,60.52777777777778
3176,60.56666666666667
3177,60.633333333333326
3178,60.69444444444444
3179,60.73888888888889
3180,60.772222222222226
3181,60.81111111111112
3182,60.88888888888889
3183,60.93333333333333
3184,60.99444444444444
3185,61.038888888888884
3186,61.105555555555554
3187,61.16111111111111
3188,61.19444444444444
3189,61.21666666666666
3190,61.28888888888889
3191,61.32777777777778
3192,61.37777777777777
3193,61.427777777777784
3194,61.477777777777774
3195,61.52777777777778
3196,61.572222222222216
3197,61.638888888888886
3198,61.68333333333334
3199,61.74444444444445
3200,61.77777777777778
3201,61.83333333333333
3202,61.855555555555554
3203,61.911111111111104
3204,61.96111111111111
3205,62.044444444444444
3206,62.088888888888896
3207,62.12777777777778
3208,62.19444444444444
3209,62.22222222222222
3210,62.28888888888889
3211,62.37222222222222
3212,62.4
3213,62.45
3214,62.477777777777774
3215,62.53333333333333
3216,62.59444444444444
3217,62.63333333333333
3218,62.69444444444444
3219,62.74444444444445
3220,62.8111111111111
3221,62.87222222222222
3222,62.87777777777778
3223,62.94444444444445
3224,62.983333333333334
3225,63.027777777777786
3226,63.077777777777776
3227,63.12777777777778
3228,63.18333333333334
3229,63.22777777777778
3230,63.288888888888884
3231,63.33333333333333
3232,63.4
3233,63.44444444444445
3234,63.48888888888888
3235,63.53333333333333
3236,63.56666666666667
3237,63.61111111111111
3238,63.67777777777778
3239,63.74999999999999
3240,63.78333333333334
3241,63.82222222222222
3242,63.888888888888886
3243,63.93333333333333
3244,64.0
3245,64.06666666666668
3246,64.11111111111111
3247,64.14999999999999
3248,64.18888888888888
3249,64.24444444444445
3250,64.28333333333333
3251,64.33888888888889
3252,64.38888888888889
3253,64.46111111111111
3254,64.52222222222223
3255,64.56111111111112
3256,64.57222222222222
3257,64.63333333333333
3258,64.69444444444444
3259,64.7388888888889
3260,64.78333333333333
3261,64.82777777777777
3262,64.88333333333334
3263,64.92777777777778
3264,64.99444444444444
3265,65.05555555555556
3266,65.11666666666667
3267,65.14444444444445
3268,65.20555555555556
3269,65.22222222222223
3270,65.26111111111112
3271,65.32222222222222
3272,65.4
3273,65.4388888888889
3274,65.47222222222221
3275,65.55
3276,65.57222222222222
3277,65.63888888888889
3278,65.72777777777777
3279,65.76111111111112
3280,65.82222222222222
3281,65.83888888888889
3282,65.88888888888889
3283,65.94444444444446
3284,65.97777777777777
3285,66.05555555555556
3286,66.08888888888889
3287,66.18333333333334
