Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-11 20:07:38,default,op-batcher-766c846f88-2sd5w,9,56
2026-02-11 20:07:38,default,op-geth-58cfb95cd4-jd97r,146,515
2026-02-11 20:07:38,default,op-node-76bc866d6f-9crgw,45,173
2026-02-11 20:07:38,default,validator-74689874d8-qpxz5,44,30
2026-02-11 20:07:38,testing,contender-85bb797bc8-vlqs,29,44
2026-02-11 20:07:48,default,beacon-6686fb6d7-x4d5l,81,215
2026-02-11 20:07:48,default,el-6cc975f4f4-swrs8,12,40
2026-02-11 20:07:48,default,op-batcher-766c846f88-2sd5w,9,56
2026-02-11 20:07:48,default,op-geth-58cfb95cd4-jd97r,146,515
2026-02-11 20:07:48,default,op-node-76bc866d6f-9crgw,45,173
2026-02-11 20:07:48,default,validator-74689874d8-qpxz5,44,30
2026-02-11 20:07:48,testing,contender-85bb797bc8-vlqs,29,44
2026-02-11 20:07:59,default,beacon-6686fb6d7-x4d5l,97,204
2026-02-11 20:07:59,default,el-6cc975f4f4-swrs8,13,41
2026-02-11 20:07:59,default,op-batcher-766c846f88-2sd5w,10,57
2026-02-11 20:07:59,default,op-geth-58cfb95cd4-jd97r,156,519
2026-02-11 20:07:59,default,op-node-76bc866d6f-9crgw,45,171
2026-02-11 20:07:59,default,validator-74689874d8-qpxz5,57,29
2026-02-11 20:07:59,testing,contender-85bb797bc8-vlqs,46,43
2026-02-11 20:08:09,default,beacon-6686fb6d7-x4d5l,125,202
2026-02-11 20:08:09,default,el-6cc975f4f4-swrs8,17,44
2026-02-11 20:08:09,default,op-batcher-766c846f88-2sd5w,14,59
2026-02-11 20:08:09,default,op-geth-58cfb95cd4-jd97r,152,520
2026-02-11 20:08:09,default,op-node-76bc866d6f-9crgw,46,171
2026-02-11 20:08:09,default,validator-74689874d8-qpxz5,67,29
2026-02-11 20:08:09,testing,contender-85bb797bc8-vlqs,46,44
2026-02-11 20:08:19,default,beacon-6686fb6d7-x4d5l,125,202
2026-02-11 20:08:19,default,el-6cc975f4f4-swrs8,17,44
2026-02-11 20:08:19,default,op-batcher-766c846f88-2sd5w,14,59
2026-02-11 20:08:19,default,op-geth-58cfb95cd4-jd97r,152,520
