Row_Index,Block_Number,Total_Gas_Used
0,1553,134528
1,1554,1587512
2,1555,1614408
3,1556,1587500
4,1557,1614408
5,1558,1587500
6,1559,1614408
7,1560,1587500
8,1561,1614408
9,1562,1587500
10,1563,1614408
11,1564,1587500
12,1565,1587500
13,1566,1614408
14,1567,1587500
15,1568,1614408
16,1569,1587500
17,1570,1614408
18,1571,1587500
19,1572,1587512
20,1573,1614408
21,1574,1587500
22,1575,1587500
23,1576,1614408
24,1577,1587500
25,1578,1614408
26,1579,1587500
27,1580,1587500
28,1581,1614408
29,1582,1587500
30,1583,1587500
31,1584,1614408
32,1585,1587500
33,1586,1614408
34,1587,1587500
35,1588,1614408
36,1589,1587512
37,1590,1614408
38,1591,1587500
39,1592,1587500
40,1593,1614408
41,1594,1587500
42,1595,1614408
43,1596,1587500
44,1597,1587500
45,1598,1614408
46,1599,1587500
47,1600,1614408
48,1601,1587500
49,1602,1587500
50,1603,1614408
51,1604,1587500
52,1605,1587512
53,1606,1614408
54,1607,1587500
55,1608,1614408
56,1609,1587500
57,1610,1614408
58,1611,1587500
59,1612,1587500
60,1613,1614408
61,1614,1587500
62,1615,1614408
63,1616,1587500
64,1617,1587500
65,1618,1614408
66,1619,1587500
67,1620,1614408
68,1621,1587500
69,1622,1614408
70,1623,1587512
71,1624,1614408
72,1625,1587500
73,1626,1587500
74,1627,1614408
75,1628,1587500
76,1629,1587500
77,1630,1614408
78,1631,1587500
79,1632,1614408
80,1633,1614408
81,1634,1587500
82,1635,1587500
83,1636,1614408
84,1637,1587500
85,1638,1614408
86,1639,1587500
87,1640,1614408
88,1641,1587512
89,1642,1587500
90,1643,1614408
91,1644,1587500
92,1645,1614408
93,1646,1587500
94,1647,1587500
95,1648,1614408
96,1649,1587500
97,1650,1614408
98,1651,1587500
99,1652,1614408
100,1653,1587500
101,1654,1614408
102,1655,1587500
103,1656,1587500
104,1657,1614408
105,1658,1587512
106,1659,1587500
107,1660,1614408
108,1661,1587500
109,1662,1614408
110,1663,1587500
111,1664,1614408
112,1665,1587500
113,1666,1614408
114,1667,1587500
115,1668,1587500
116,1669,1614408
117,1670,1587500
118,1671,1587500
119,1672,1614408
120,1673,1587500
121,1674,1587512
122,1675,1614408
123,1676,1614408
124,1677,1560592
125,1678,1614408
126,1679,1587500
127,1680,1614408
128,1681,1587500
129,1682,1614408
130,1683,1587500
131,1684,1614408
132,1685,1587500
133,1686,1587500
134,1687,1614408
135,1688,1587500
136,1689,1587500
137,1690,1614408
138,1691,1587512
139,1692,1587500
140,1693,1614408
141,1694,1587500
142,1695,1587500
143,1696,1614408
144,1697,1587500
145,1698,1614408
146,1699,1587500
147,1700,1587500
148,1701,1614408
149,1702,1587500
150,1703,1614408
151,1704,1587500
152,1705,645768
