relative_timestamp,real_timestamp,percentage_included
0,1770827212,0.0
1,1770827213,0.0
2,1770827214,0.0
3,1770827215,0.19012345679012346
4,1770827216,0.19012345679012346
5,1770827217,0.8283950617283952
6,1770827218,0.8283950617283952
7,1770827219,1.4925925925925925
8,1770827220,1.4925925925925925
9,1770827221,2.1148148148148147
10,1770827222,2.1148148148148147
11,1770827223,2.7444444444444445
12,1770827224,2.7444444444444445
13,1770827225,3.3691358024691356
14,1770827226,3.3691358024691356
15,1770827227,4.003703703703704
16,1770827228,4.003703703703704
17,1770827229,4.639506172839506
18,1770827230,4.639506172839506
19,1770827231,5.285185185185185
20,1770827232,5.285185185185185
21,1770827233,5.8999999999999995
22,1770827234,5.8999999999999995
23,1770827235,6.541975308641976
24,1770827236,6.541975308641976
25,1770827237,7.164197530864197
26,1770827238,7.164197530864197
27,1770827239,7.8012345679012345
28,1770827240,7.8012345679012345
29,1770827241,8.424691358024692
30,1770827242,8.424691358024692
31,1770827243,9.069135802469136
32,1770827244,9.069135802469136
33,1770827245,9.695061728395062
34,1770827246,9.695061728395062
35,1770827247,10.333333333333334
36,1770827248,10.333333333333334
37,1770827249,10.959259259259259
38,1770827250,10.959259259259259
39,1770827251,11.602469135802469
40,1770827252,11.602469135802469
41,1770827253,12.222222222222221
42,1770827254,12.222222222222221
43,1770827255,12.855555555555556
44,1770827256,12.855555555555556
45,1770827257,13.492592592592592
46,1770827258,13.492592592592592
47,1770827259,14.124691358024691
48,1770827260,14.124691358024691
49,1770827261,14.745679012345677
50,1770827262,14.745679012345677
51,1770827263,15.382716049382717
52,1770827264,15.382716049382717
53,1770827265,16.00864197530864
54,1770827266,16.00864197530864
55,1770827267,16.66172839506173
56,1770827268,16.66172839506173
57,1770827269,17.28641975308642
58,1770827270,17.28641975308642
59,1770827271,17.916049382716047
60,1770827272,17.916049382716047
61,1770827273,18.535802469135803
62,1770827274,18.535802469135803
63,1770827275,19.179012345679013
64,1770827276,19.179012345679013
65,1770827277,19.80246913580247
66,1770827278,19.80246913580247
67,1770827279,20.437037037037037
68,1770827280,20.437037037037037
69,1770827281,21.069135802469134
70,1770827282,21.069135802469134
71,1770827283,21.695061728395064
72,1770827284,21.695061728395064
73,1770827285,22.32962962962963
74,1770827286,22.32962962962963
75,1770827287,22.966666666666665
76,1770827288,22.966666666666665
77,1770827289,23.596296296296295
78,1770827290,23.596296296296295
79,1770827291,24.2320987654321
80,1770827292,24.2320987654321
81,1770827293,24.866666666666667
82,1770827294,24.866666666666667
83,1770827295,25.492592592592594
84,1770827296,25.492592592592594
85,1770827297,26.125925925925923
86,1770827298,26.125925925925923
87,1770827299,26.756790123456792
88,1770827300,26.756790123456792
89,1770827301,27.39012345679012
90,1770827302,27.39012345679012
91,1770827303,28.022222222222222
92,1770827304,28.022222222222222
93,1770827305,28.656790123456787
94,1770827306,28.656790123456787
95,1770827307,29.291358024691363
96,1770827308,29.291358024691363
97,1770827309,29.91358024691358
98,1770827310,29.91358024691358
99,1770827311,30.55185185185185
100,1770827312,30.55185185185185
101,1770827313,31.176543209876545
102,1770827314,31.176543209876545
103,1770827315,31.81851851851852
104,1770827316,31.81851851851852
105,1770827317,32.45061728395061
106,1770827318,32.45061728395061
107,1770827319,33.071604938271605
108,1770827320,33.071604938271605
109,1770827321,33.70123456790123
110,1770827322,33.70123456790123
111,1770827323,34.33827160493827
112,1770827324,34.33827160493827
113,1770827325,34.976543209876546
114,1770827326,34.976543209876546
115,1770827327,35.60740740740741
116,1770827328,35.60740740740741
117,1770827329,36.23827160493827
118,1770827330,36.23827160493827
119,1770827331,36.86543209876543
120,1770827332,36.86543209876543
121,1770827333,37.49135802469136
122,1770827334,37.49135802469136
123,1770827335,38.1320987654321
124,1770827336,38.1320987654321
125,1770827337,38.754320987654324
126,1770827338,38.754320987654324
127,1770827339,39.39259259259259
128,1770827340,39.39259259259259
129,1770827341,40.02962962962963
130,1770827342,40.02962962962963
131,1770827343,40.662962962962965
132,1770827344,40.662962962962965
133,1770827345,41.28888888888889
134,1770827346,41.28888888888889
135,1770827347,41.92469135802469
136,1770827348,41.92469135802469
137,1770827349,42.553086419753086
138,1770827350,42.553086419753086
139,1770827351,43.193827160493825
140,1770827352,43.193827160493825
141,1770827353,43.82098765432099
142,1770827354,43.82098765432099
143,1770827355,44.45432098765432
144,1770827356,44.45432098765432
145,1770827357,45.07901234567902
146,1770827358,45.07901234567902
147,1770827359,45.71604938271605
148,1770827360,45.71604938271605
149,1770827361,46.34444444444444
150,1770827362,46.34444444444444
151,1770827363,46.983950617283945
152,1770827364,46.983950617283945
153,1770827365,47.61851851851852
154,1770827366,47.61851851851852
155,1770827367,48.25185185185185
156,1770827368,48.25185185185185
157,1770827369,48.876543209876544
158,1770827370,48.876543209876544
159,1770827371,49.51111111111111
160,1770827372,49.51111111111111
161,1770827373,50.13950617283951
