relative_timestamp,real_timestamp,percentage_included
0,1770870575,0.0
1,1770870576,0.0
2,1770870577,0.24567901234567902
3,1770870578,0.24567901234567902
4,1770870579,0.8888888888888888
5,1770870580,0.8888888888888888
6,1770870581,1.5432098765432098
7,1770870582,1.5432098765432098
8,1770870583,2.174074074074074
9,1770870584,2.174074074074074
10,1770870585,2.802469135802469
11,1770870586,2.802469135802469
12,1770870587,3.4308641975308642
13,1770870588,3.4308641975308642
14,1770870589,4.074074074074074
15,1770870590,4.074074074074074
16,1770870591,4.696296296296296
17,1770870592,4.696296296296296
18,1770870593,5.334567901234568
19,1770870594,5.334567901234568
20,1770870595,5.965432098765432
21,1770870596,5.965432098765432
22,1770870597,6.601234567901234
23,1770870598,6.601234567901234
24,1770870599,7.22716049382716
25,1770870600,7.22716049382716
26,1770870601,7.85679012345679
27,1770870602,7.85679012345679
28,1770870603,8.490123456790123
29,1770870604,8.490123456790123
30,1770870605,9.117283950617285
31,1770870606,9.117283950617285
32,1770870607,9.748148148148148
33,1770870608,9.748148148148148
34,1770870609,10.382716049382717
35,1770870610,10.382716049382717
36,1770870611,11.007407407407408
37,1770870612,11.007407407407408
38,1770870613,11.653086419753086
39,1770870614,11.653086419753086
40,1770870615,12.282716049382717
41,1770870616,12.282716049382717
42,1770870617,12.911111111111111
43,1770870618,12.911111111111111
44,1770870619,13.533333333333333
45,1770870620,13.533333333333333
46,1770870621,14.1679012345679
47,1770870622,14.1679012345679
48,1770870623,14.791358024691359
49,1770870624,14.791358024691359
50,1770870625,15.424691358024692
51,1770870626,15.424691358024692
52,1770870627,16.060493827160492
53,1770870628,16.060493827160492
54,1770870629,16.68148148148148
55,1770870630,16.68148148148148
56,1770870631,17.317283950617284
57,1770870632,17.317283950617284
58,1770870633,17.95925925925926
59,1770870634,17.95925925925926
60,1770870635,18.579012345679015
61,1770870636,18.579012345679015
62,1770870637,19.220987654320986
63,1770870638,19.220987654320986
64,1770870639,19.848148148148148
65,1770870640,19.848148148148148
66,1770870641,20.477777777777778
67,1770870642,20.477777777777778
68,1770870643,21.099999999999998
69,1770870644,21.099999999999998
70,1770870645,21.738271604938273
71,1770870646,21.738271604938273
72,1770870647,22.35925925925926
73,1770870648,22.35925925925926
74,1770870649,23.0
75,1770870650,23.0
76,1770870651,23.6320987654321
77,1770870652,23.6320987654321
78,1770870653,24.25925925925926
79,1770870654,24.25925925925926
80,1770870655,24.88395061728395
81,1770870656,24.88395061728395
82,1770870657,25.519753086419755
83,1770870658,25.519753086419755
84,1770870659,26.14814814814815
85,1770870660,26.14814814814815
86,1770870661,26.783950617283953
87,1770870662,26.783950617283953
88,1770870663,27.40864197530864
89,1770870664,27.40864197530864
90,1770870665,28.035802469135803
91,1770870666,28.035802469135803
92,1770870667,28.666666666666668
93,1770870668,28.666666666666668
94,1770870669,29.303703703703704
95,1770870670,29.303703703703704
96,1770870671,29.924691358024692
97,1770870672,29.924691358024692
98,1770870673,30.562962962962963
99,1770870674,30.562962962962963
100,1770870675,31.187654320987658
101,1770870676,31.187654320987658
102,1770870677,31.81604938271605
103,1770870678,31.81604938271605
104,1770870679,32.44074074074074
105,1770870680,32.44074074074074
106,1770870681,33.07901234567901
107,1770870682,33.07901234567901
108,1770870683,33.7
109,1770870684,33.7
110,1770870685,34.34074074074074
111,1770870686,34.34074074074074
112,1770870687,34.974074074074075
113,1770870688,34.974074074074075
114,1770870689,35.6037037037037
115,1770870690,35.6037037037037
116,1770870691,36.22469135802469
117,1770870692,36.22469135802469
118,1770870693,36.85925925925926
119,1770870694,36.85925925925926
120,1770870695,37.48888888888889
121,1770870696,37.48888888888889
122,1770870697,38.12469135802469
123,1770870698,38.12469135802469
124,1770870699,38.75679012345679
125,1770870700,38.75679012345679
126,1770870701,39.38148148148149
127,1770870702,39.38148148148149
128,1770870703,40.00987654320988
129,1770870704,40.00987654320988
130,1770870705,40.65185185185185
131,1770870706,40.65185185185185
132,1770870707,41.279012345679014
133,1770870708,41.279012345679014
134,1770870709,41.91481481481482
135,1770870710,41.91481481481482
136,1770870711,42.546913580246915
137,1770870712,42.546913580246915
138,1770870713,43.169135802469135
139,1770870714,43.169135802469135
140,1770870715,43.8
141,1770870716,43.8
142,1770870717,44.43086419753086
143,1770870718,44.43086419753086
144,1770870719,45.06049382716049
145,1770870720,45.06049382716049
146,1770870721,45.69753086419753
147,1770870722,45.69753086419753
148,1770870723,46.33333333333333
149,1770870724,46.33333333333333
150,1770870725,46.96049382716049
151,1770870726,46.96049382716049
152,1770870727,47.590123456790124
153,1770870728,47.590123456790124
154,1770870729,48.21975308641975
155,1770870730,48.21975308641975
156,1770870731,48.84814814814815
157,1770870732,48.84814814814815
158,1770870733,49.486419753086416
159,1770870734,49.486419753086416
160,1770870735,50.11975308641975
161,1770870736,50.11975308641975
162,1770870737,50.741975308641976
163,1770870738,50.741975308641976
164,1770870739,51.366666666666674
165,1770870740,51.366666666666674
166,1770870741,52.00617283950617
167,1770870742,52.00617283950617
168,1770870743,52.635802469135804
169,1770870744,52.635802469135804
170,1770870745,53.27407407407407
171,1770870746,53.27407407407407
172,1770870747,53.90370370370371
173,1770870748,53.90370370370371
174,1770870749,54.53086419753086
175,1770870750,54.53086419753086
176,1770870751,55.15185185185185
177,1770870752,55.15185185185185
178,1770870753,55.787654320987656
179,1770870754,55.787654320987656
180,1770870755,56.41481481481482
181,1770870756,56.41481481481482
182,1770870757,57.05679012345679
183,1770870758,57.05679012345679
184,1770870759,57.6925925925926
185,1770870760,57.6925925925926
186,1770870761,58.32716049382716
187,1770870762,58.32716049382716
188,1770870763,58.94938271604938
189,1770870764,58.94938271604938
190,1770870765,59.58641975308642
191,1770870766,59.58641975308642
192,1770870767,60.22222222222222
193,1770870768,60.22222222222222
194,1770870769,60.849382716049384
195,1770870770,60.849382716049384
196,1770870771,61.48765432098765
197,1770870772,61.48765432098765
198,1770870773,62.11604938271606
199,1770870774,62.11604938271606
200,1770870775,62.74691358024691
201,1770870776,62.74691358024691
202,1770870777,63.37407407407407
203,1770870778,63.37407407407407
204,1770870779,64.00493827160494
205,1770870780,64.00493827160494
206,1770870781,64.65061728395062
207,1770870782,64.65061728395062
208,1770870783,65.27777777777779
209,1770870784,65.27777777777779
210,1770870785,65.90493827160493
211,1770870786,65.90493827160493
212,1770870787,66.5358024691358
213,1770870788,66.5358024691358
214,1770870789,67.17777777777778
215,1770870790,67.17777777777778
216,1770870791,67.80123456790123
217,1770870792,67.80123456790123
218,1770870793,68.43703703703704
219,1770870794,68.43703703703704
220,1770870795,69.0716049382716
221,1770870796,69.0716049382716
222,1770870797,69.69753086419753
223,1770870798,69.69753086419753
224,1770870799,70.33333333333334
225,1770870800,70.33333333333334
226,1770870801,70.96913580246914
227,1770870802,70.96913580246914
228,1770870803,71.59506172839507
229,1770870804,71.59506172839507
230,1770870805,72.23827160493828
231,1770870806,72.23827160493828
232,1770870807,72.86296296296297
233,1770870808,72.86296296296297
234,1770870809,73.49382716049384
235,1770870810,73.49382716049384
236,1770870811,74.11975308641975
237,1770870812,74.11975308641975
238,1770870813,74.75308641975309
239,1770870814,74.75308641975309
240,1770870815,75.38024691358025
241,1770870816,75.38024691358025
242,1770870817,76.01728395061728
243,1770870818,76.01728395061728
244,1770870819,76.65802469135802
245,1770870820,76.65802469135802
246,1770870821,77.27654320987655
247,1770870822,77.27654320987655
248,1770870823,77.90246913580246
249,1770870824,77.90246913580246
250,1770870825,78.53703703703704
251,1770870826,78.53703703703704
252,1770870827,79.15802469135802
253,1770870828,79.15802469135802
254,1770870829,79.80123456790123
255,1770870830,79.80123456790123
256,1770870831,80.42716049382716
257,1770870832,80.42716049382716
258,1770870833,81.05802469135803
259,1770870834,81.05802469135803
260,1770870835,81.68024691358025
261,1770870836,81.68024691358025
262,1770870837,82.31111111111112
263,1770870838,82.31111111111112
264,1770870839,82.94814814814815
265,1770870840,82.94814814814815
266,1770870841,83.58148148148148
267,1770870842,83.58148148148148
268,1770870843,84.2074074074074
269,1770870844,84.2074074074074
270,1770870845,84.84320987654321
271,1770870846,84.84320987654321
272,1770870847,85.46543209876543
273,1770870848,85.46543209876543
274,1770870849,86.10493827160494
275,1770870850,86.10493827160494
276,1770870851,86.72839506172839
277,1770870852,86.72839506172839
278,1770870853,87.3641975308642
279,1770870854,87.3641975308642
280,1770870855,88.0
281,1770870856,88.0
282,1770870857,88.62469135802469
283,1770870858,88.62469135802469
284,1770870859,89.25432098765432
285,1770870860,89.25432098765432
286,1770870861,89.88765432098765
287,1770870862,89.88765432098765
288,1770870863,90.5074074074074
289,1770870864,90.5074074074074
290,1770870865,91.1395061728395
291,1770870866,91.1395061728395
292,1770870867,91.76913580246914
293,1770870868,91.76913580246914
294,1770870869,92.40246913580246
295,1770870870,92.40246913580246
296,1770870871,93.02098765432099
297,1770870872,93.02098765432099
298,1770870873,93.66172839506173
299,1770870874,93.66172839506173
300,1770870875,94.28641975308642
301,1770870876,94.28641975308642
302,1770870877,94.93456790123457
303,1770870878,94.93456790123457
304,1770870879,95.55925925925925
305,1770870880,95.55925925925925
306,1770870881,96.1753086419753
307,1770870882,96.1753086419753
308,1770870883,96.80987654320987
309,1770870884,96.80987654320987
310,1770870885,97.4320987654321
311,1770870886,97.4320987654321
