Index,Timestamp,CPU(m),RAM(Mi)
0,2026-02-12 04:09:32,18,75
1,2026-02-12 04:09:42,6,76
2,2026-02-12 04:09:53,7,76
3,2026-02-12 04:10:03,7,76
4,2026-02-12 04:10:13,8,77
5,2026-02-12 04:10:23,7,77
6,2026-02-12 04:10:33,7,77
7,2026-02-12 04:10:43,7,77
8,2026-02-12 04:10:53,7,77
9,2026-02-12 04:11:03,7,77
10,2026-02-12 04:11:14,6,78
11,2026-02-12 04:11:24,7,78
12,2026-02-12 04:11:34,7,78
13,2026-02-12 04:11:44,16,79
14,2026-02-12 04:11:54,36,80
15,2026-02-12 04:12:04,36,80
16,2026-02-12 04:12:14,41,83
17,2026-02-12 04:12:24,41,86
18,2026-02-12 04:12:34,41,86
19,2026-02-12 04:12:45,38,88
20,2026-02-12 04:12:55,39,90
21,2026-02-12 04:13:05,39,90
22,2026-02-12 04:13:15,38,90
23,2026-02-12 04:13:25,39,93
24,2026-02-12 04:13:35,38,93
25,2026-02-12 04:13:45,38,93
26,2026-02-12 04:13:55,42,96
27,2026-02-12 04:14:06,36,97
28,2026-02-12 04:14:16,36,97
29,2026-02-12 04:14:26,39,99
30,2026-02-12 04:14:36,38,100
31,2026-02-12 04:14:46,38,100
32,2026-02-12 04:14:56,40,101
33,2026-02-12 04:15:06,39,101
34,2026-02-12 04:15:16,39,101
35,2026-02-12 04:15:27,40,102
36,2026-02-12 04:15:37,42,104
37,2026-02-12 04:15:47,42,104
38,2026-02-12 04:15:57,37,106
39,2026-02-12 04:16:07,41,109
40,2026-02-12 04:16:17,41,109
