Timestamp,Namespace,Pod,CPU(m),RAM(Mi)
2026-02-12 04:53:04,default,op-node-fc4c5d564-dptkw,28,211
2026-02-12 04:53:04,default,op-rbuilder-784769bd78-bd7n,10,139
2026-02-12 04:53:04,default,rollup-boost-cb6c88c87-6qqtb,3,10
2026-02-12 04:53:04,default,validator-5c45f686bc-p6d5w,32,33
2026-02-12 04:53:04,testing,contender-85bb797bc8-x54s5,2,15
2026-02-12 04:53:14,default,beacon-85cbbc7d7b-dr7z,81,210
2026-02-12 04:53:14,default,el-584bddccc7-ljpwp,10,55
2026-02-12 04:53:14,default,op-batcher-7ddcb69467-jprj9,3,22
2026-02-12 04:53:14,default,op-geth-75f4676cdc-n84lh,7,240
2026-02-12 04:53:14,default,op-node-fc4c5d564-dptkw,32,211
2026-02-12 04:53:14,default,op-rbuilder-784769bd78-bd7n,9,139
2026-02-12 04:53:14,default,rollup-boost-cb6c88c87-6qqtb,3,10
2026-02-12 04:53:14,default,validator-5c45f686bc-p6d5w,38,34
2026-02-12 04:53:14,testing,contender-85bb797bc8-x54s5,2,15
2026-02-12 04:53:24,default,beacon-85cbbc7d7b-dr7z,92,221
2026-02-12 04:53:24,default,el-584bddccc7-ljpwp,8,54
2026-02-12 04:53:24,default,op-batcher-7ddcb69467-jprj9,3,22
2026-02-12 04:53:24,default,op-geth-75f4676cdc-n84lh,7,241
2026-02-12 04:53:24,default,op-node-fc4c5d564-dptkw,24,211
2026-02-12 04:53:24,default,op-rbuilder-784769bd78-bd7n,9,141
2026-02-12 04:53:24,default,rollup-boost-cb6c88c87-6qqtb,3,10
2026-02-12 04:53:24,default,validator-5c45f686bc-p6d5w,45,35
2026-02-12 04:53:24,testing,contender-85bb797bc8-x54s5,3,15
2026-02-12 04:53:34,default,beacon-85cbbc7d7b-dr7z,92,221
2026-02-12 04:53:34,default,el-584bddccc7-ljpwp,8,54
2026-02-12 04:53:34,default,op-batcher-7ddcb69467-jprj9,3,22
