index,load_sent_tps,mined_tps
0,5,4.247
1,10,33.008
2,20,15.094
3,25,65.711
4,50,39.097
5,100,111.254
6,200,93.742
7,400,94.602
8,800,90.786
9,1000,89.764
10,1600,91.761
11,2000,113.858
