node,rpc_method,target_rate,actual_rate,throughput,success_rate,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,eth_getCode,100,100.01627809266509,100.0121110799383,1.0,0.001502819,0.004614104,0.003351924,0.011172614,0.011541574,0.012001747,0.019533432,6000
nopbs-native,eth_getCode,200,200.0161344781686,199.85847360285732,1.0,0.000968445,0.00475626,0.005491857,0.006622241,0.006840231,0.007224296,0.047327938,12000
nopbs-native,eth_getCode,300,300.01904742427115,300.0020103934722,1.0,0.000963058,0.004104185,0.004250342,0.005021016,0.005208936,0.005552354,0.01285885,18000
nopbs-native,eth_getCode,400,400.01696963989116,399.72781766750035,1.0,0.001009984,0.00352258,0.003533966,0.004222221,0.004406029,0.004861955,0.043400488,24000
nopbs-native,eth_getCode,500,500.01103146838125,499.65494364222855,1.0,0.000897005,0.003086496,0.003031151,0.0037027,0.003907638,0.004510875,0.042759105,30000
nopbs-native,eth_getCode,600,600.022349832494,599.5891220506272,1.0,0.000958066,0.002856855,0.002795272,0.00346673,0.003703932,0.004922092,0.043350851,36000
nopbs-native,eth_getCode,700,700.0187859608136,699.5279752177241,1.0,0.000756849,0.002807828,0.002704741,0.003667261,0.004138019,0.00490644,0.04209675,42000
nopbs-native,eth_getCode,800,800.0285009620115,799.4521167838369,1.0,0.000839032,0.002807006,0.00270464,0.003755638,0.00407448,0.004797041,0.043256898,48000
nopbs-native,eth_getCode,900,900.0263421509874,899.3861891920453,1.0,0.000688868,0.002761093,0.002683185,0.003718754,0.004042606,0.005153966,0.04270474,54000
nopbs-native,eth_getCode,1000,1000.0059461186894,999.3085560422179,1.0,0.000681463,0.002754571,0.00269733,0.003694052,0.004064931,0.005031735,0.041872108,60000
