node,rpc_method,target_rate,actual_rate,throughput,success_rate,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,eth_getTransactionCount,100,100.01582229472073,99.94614400364594,1.0,0.001286973,0.007768765,0.010597382,0.011689353,0.011882129,0.012200004,0.041822885,6000
nopbs-native,eth_getTransactionCount,200,200.01497706147788,199.87424993180858,1.0,0.001230675,0.004942561,0.005699147,0.006662147,0.006866419,0.007209185,0.042241537,12000
nopbs-native,eth_getTransactionCount,300,300.0177050498343,299.8028578902267,1.0,0.001086272,0.004138245,0.004268747,0.005023989,0.00520809,0.005552673,0.04299515,18000
nopbs-native,eth_getTransactionCount,400,400.02058210566986,399.7419799299868,1.0,0.000949467,0.003508062,0.003523152,0.004223159,0.004415503,0.004840726,0.041815149,24000
nopbs-native,eth_getTransactionCount,500,500.0098847704135,499.65545191548773,1.0,0.000997238,0.003072195,0.003024108,0.003726911,0.003921097,0.004567363,0.04256043,30000
nopbs-native,eth_getTransactionCount,600,600.0109269489934,599.5853527021377,1.0,0.000980618,0.002883229,0.002819557,0.003497545,0.003754364,0.004925469,0.04258608,36000
nopbs-native,eth_getTransactionCount,700,700.0259067687655,699.5203498552564,1.0,0.000767732,0.002803457,0.002702141,0.003702872,0.004129962,0.004847442,0.043361558,42000
nopbs-native,eth_getTransactionCount,800,800.0291966121805,799.4459659713717,1.0,0.000730836,0.002737433,0.002639663,0.003717877,0.004035839,0.004756428,0.043771015,48000
nopbs-native,eth_getTransactionCount,900,900.00982293221,899.3879337433872,1.0,0.000699822,0.002812222,0.002745807,0.003749704,0.004057417,0.005125986,0.041487041,54000
nopbs-native,eth_getTransactionCount,1000,1000.0026662404422,999.2660981741352,1.0,0.000707113,0.002730429,0.002677789,0.003675713,0.004048381,0.005037028,0.044226424,60000
