node,rpc_method,target_rate,actual_rate,throughput,success_rate,min_latency,mean_latency,p50_latency,p90_latency,p95_latency,p99_latency,max_latency,requests
nopbs-native,eth_getBalance,100,100.0152968412423,100.00907524852661,1.0,0.001172538,0.005286742,0.003374044,0.011374724,0.011644945,0.012099263,0.015778711,6000
nopbs-native,eth_getBalance,200,200.01430181596993,199.874079642961,1.0,0.001177475,0.004444496,0.003713327,0.006566054,0.006792786,0.007190051,0.042090144,12000
nopbs-native,eth_getBalance,300,300.016267847095,300.00279110596733,1.0,0.000924717,0.003943088,0.004112238,0.004997065,0.005182572,0.005537129,0.013422212,18000
nopbs-native,eth_getBalance,400,400.0147948071955,399.73189383615005,1.0,0.00076007,0.00352698,0.003529144,0.004232609,0.00442343,0.004863198,0.042462037,24000
nopbs-native,eth_getBalance,500,500.0118908077759,499.6628387671415,1.0,0.000953614,0.003079498,0.003015228,0.003697658,0.003904211,0.00481541,0.041913512,30000
nopbs-native,eth_getBalance,600,600.0142734995466,599.5916377521668,1.0,0.000875753,0.002859872,0.002795554,0.003471776,0.003711315,0.004876993,0.042291353,36000
nopbs-native,eth_getBalance,700,700.0243250285997,699.5293635811821,1.0,0.000800884,0.00279809,0.002699602,0.003571395,0.004045946,0.004896175,0.042452335,42000
nopbs-native,eth_getBalance,800,800.0274466082798,799.4648824447484,1.0,0.000694375,0.002730063,0.002617977,0.003645105,0.003994293,0.00480086,0.042219105,48000
nopbs-native,eth_getBalance,900,900.0156261163014,899.3892682633732,1.0,0.000656696,0.002708374,0.002625474,0.003618877,0.003935018,0.004969621,0.042564785,54000
nopbs-native,eth_getBalance,1000,1000.015027925835,999.3169536212503,1.0,0.000673883,0.002701525,0.002639277,0.003590403,0.003930861,0.004995613,0.041912457,60000
